respondent_id,scenario_id,question,option_index,weight
h01,scope_3,judgment,2,0.5
h01,scope_3,judgment,3,0.0
h01,scope_3,reasoning,0,0.0
h01,scope_3,reasoning,1,0.5
h01,scope_3,reasoning,2,0.5
h01,scope_3,reasoning,3,0.0
h01,auth_2,judgment,0,0.0
h01,auth_2,judgment,1,0.0
h01,auth_2,judgment,2,0.4459
h01,auth_2,judgment,3,0.5541
h01,auth_2,reasoning,0,0.432
h01,auth_2,reasoning,1,0.0534
h01,auth_2,reasoning,2,0.4612
h01,auth_2,reasoning,3,0.0534
h01,auth_2,reasoning,4,0.0
h01,auth_3,judgment,0,0.1005
h01,auth_3,judgment,1,0.4545
h01,auth_3,judgment,2,0.445
h01,auth_3,judgment,3,0.0
h01,auth_3,reasoning,0,0.1484
h01,auth_3,reasoning,1,0.6065
h01,auth_3,reasoning,2,0.2452
h01,auth_3,reasoning,3,0.0
h01,scope_1,judgment,0,0.0
h01,scope_1,judgment,1,0.6738
h01,scope_1,judgment,2,0.3262
h01,scope_1,judgment,3,0.0
h01,scope_1,reasoning,0,0.0396
h01,scope_1,reasoning,1,0.4802
h01,scope_1,reasoning,2,0.0297
h01,scope_1,reasoning,3,0.4505
h01,scope_1,reasoning,4,0.0
h01,mac_2,judgment,0,0.0498
h01,mac_2,judgment,1,0.4428
h01,mac_2,judgment,2,0.0348
h01,mac_2,judgment,3,0.4726
h01,mac_2,reasoning,0,0.1256
h01,mac_2,reasoning,1,0.2174
h01,mac_2,reasoning,2,0.2029
h01,mac_2,reasoning,3,0.4541
h01,domain_3,judgment,0,0.08
h01,domain_3,judgment,1,0.3067
h01,domain_3,judgment,2,0.6133
h01,domain_3,judgment,3,0.0
h01,domain_3,reasoning,0,0.3566
h01,domain_3,reasoning,1,0.0
h01,domain_3,reasoning,2,0.6434
h01,domain_3,reasoning,3,0.0
h02,scope_3,judgment,0,1.0
h02,scope_3,judgment,1,0.0
h02,scope_3,judgment,2,0.0
h02,scope_3,judgment,3,0.0
h02,scope_3,reasoning,0,0.0
h02,scope_3,reasoning,1,1.0
h02,scope_3,reasoning,2,0.0
h02,scope_3,reasoning,3,0.0
h02,domain_1,judgment,0,1.0
h02,domain_1,judgment,1,0.0
h02,domain_1,judgment,2,0.0
h02,domain_1,judgment,3,0.0
h02,domain_1,reasoning,0,0.0
h02,domain_1,reasoning,1,1.0
h02,domain_1,reasoning,2,0.0
h02,domain_1,reasoning,3,0.0
h02,auth_2,judgment,0,1.0
h02,auth_2,judgment,1,0.0
h02,auth_2,judgment,2,0.0
h02,auth_2,judgment,3,0.0
h02,auth_2,reasoning,0,0.0
h02,auth_2,reasoning,1,1.0
h02,auth_2,reasoning,2,0.0
h02,auth_2,reasoning,3,0.0
h02,auth_2,reasoning,4,0.0
h02,mac_1,judgment,0,1.0
h02,mac_1,judgment,1,0.0
h02,mac_1,judgment,2,0.0
h02,mac_1,judgment,3,0.0
h02,mac_1,reasoning,0,0.0
h02,mac_1,reasoning,1,1.0
h02,mac_1,reasoning,2,0.0
h02,mac_1,reasoning,3,0.0
h02,auth_1,judgment,0,1.0
h02,auth_1,judgment,1,0.0
h02,auth_1,judgment,2,0.0
h02,auth_1,judgment,3,0.0
h02,auth_1,reasoning,0,0.0
h02,auth_1,reasoning,1,1.0
h02,auth_1,reasoning,2,0.0
h02,auth_1,reasoning,3,0.0
h02,auth_1,reasoning,4,0.0
h02,domain_2,judgment,0,1.0
h02,domain_2,judgment,1,0.0
h02,domain_2,judgment,2,0.0
h02,domain_2,judgment,3,0.0
h02,domain_2,reasoning,0,0.0
h02,domain_2,reasoning,1,1.0
h02,domain_2,reasoning,2,0.0
h02,domain_2,reasoning,3,0.0
h02,scope_1,judgment,0,1.0
h02,scope_1,judgment,1,0.0
h02,scope_1,judgment,2,0.0
h02,scope_1,judgment,3,0.0
h02,scope_1,reasoning,0,0.0
h02,scope_1,reasoning,1,1.0
h02,scope_1,reasoning,2,0.0
h02,scope_1,reasoning,3,0.0
h02,scope_1,reasoning,4,0.0
h02,mac_2,judgment,0,1.0
h02,mac_2,judgment,1,0.0
h02,mac_2,judgment,2,0.0
h02,mac_2,judgment,3,0.0
h02,mac_2,reasoning,0,0.0
h02,mac_2,reasoning,1,1.0
h02,mac_2,reasoning,2,0.0
h02,mac_2,reasoning,3,0.0
h02,scope_2,judgment,0,1.0
h02,scope_2,judgment,1,0.0
h02,scope_2,judgment,2,0.0
h02,scope_2,judgment,3,0.0
h02,scope_2,reasoning,0,0.0
h02,scope_2,reasoning,1,1.0
h02,scope_2,reasoning,2,0.0
h02,scope_2,reasoning,3,0.0
h02,auth_3,judgment,0,1.0
h02,auth_3,judgment,1,0.0
h02,auth_3,judgment,2,0.0
h02,auth_3,judgment,3,0.0
h02,auth_3,reasoning,0,0.0
h02,auth_3,reasoning,1,1.0
h02,auth_3,reasoning,2,0.0
h02,auth_3,reasoning,3,0.0
h02,domain_3,judgment,0,1.0
h02,domain_3,judgment,1,0.0
h02,domain_3,judgment,2,0.0
h02,domain_3,judgment,3,0.0
h02,domain_3,reasoning,0,0.0
h02,domain_3,reasoning,1,1.0
h02,domain_3,reasoning,2,0.0
h02,domain_3,reasoning,3,0.0
h02,mac_3,judgment,0,1.0
h02,mac_3,judgment,1,0.0
h02,mac_3,judgment,2,0.0
h02,mac_3,judgment,3,0.0
h02,mac_3,reasoning,0,0.0
h02,mac_3,reasoning,1,1.0
h02,mac_3,reasoning,2,0.0
h02,mac_3,reasoning,3,0.0
h03,scope_2,judgment,0,1.0
h03,scope_2,judgment,1,0.0
h03,scope_2,judgment,2,0.0
h03,scope_2,judgment,3,0.0
h03,scope_2,reasoning,0,1.0
h03,scope_2,reasoning,1,0.0
h03,scope_2,reasoning,2,0.0
h03,scope_2,reasoning,3,0.0
h03,domain_3,judgment,0,1.0
h03,domain_3,judgment,1,0.0
h03,domain_3,judgment,2,0.0
h03,domain_3,judgment,3,0.0
h03,domain_3,reasoning,0,1.0
h03,domain_3,reasoning,1,0.0
h03,domain_3,reasoning,2,0.0
h03,domain_3,reasoning,3,0.0
h03,mac_3,judgment,0,1.0
h03,mac_3,judgment,1,0.0
h03,mac_3,judgment,2,0.0
h03,mac_3,judgment,3,0.0
h03,mac_3,reasoning,0,1.0
h03,mac_3,reasoning,1,0.0
h03,mac_3,reasoning,2,0.0
h03,mac_3,reasoning,3,0.0
h03,auth_3,judgment,0,1.0
h03,auth_3,judgment,1,0.0
h03,auth_3,judgment,2,0.0
h03,auth_3,judgment,3,0.0
h03,auth_3,reasoning,0,1.0
h03,auth_3,reasoning,1,0.0
h03,auth_3,reasoning,2,0.0
h03,auth_3,reasoning,3,0.0
h03,domain_1,judgment,0,1.0
h03,domain_1,judgment,1,0.0
h03,domain_1,judgment,2,0.0
h03,domain_1,judgment,3,0.0
h03,domain_1,reasoning,0,1.0
h03,domain_1,reasoning,1,0.0
h03,domain_1,reasoning,2,0.0
h03,domain_1,reasoning,3,0.0
h03,mac_1,judgment,0,0.0
h03,mac_1,judgment,1,1.0
h03,mac_1,judgment,2,0.0
h03,mac_1,judgment,3,0.0
h03,mac_1,reasoning,0,0.0
h03,mac_1,reasoning,1,1.0
h03,mac_1,reasoning,2,0.0
h03,mac_1,reasoning,3,0.0
h03,auth_1,judgment,0,0.0
h03,auth_1,judgment,1,0.0
h03,auth_1,judgment,2,1.0
h03,auth_1,judgment,3,0.0
h03,auth_1,reasoning,0,0.0
h03,auth_1,reasoning,1,1.0
h03,auth_1,reasoning,2,0.0
h03,auth_1,reasoning,3,0.0
h03,auth_1,reasoning,4,0.0
h03,scope_1,judgment,0,1.0
h03,scope_1,judgment,1,0.0
h03,scope_1,judgment,2,0.0
h03,scope_1,judgment,3,0.0
h03,scope_1,reasoning,0,0.0
h03,scope_1,reasoning,1,0.0
h03,scope_1,reasoning,2,1.0
h03,scope_1,reasoning,3,0.0
h03,scope_1,reasoning,4,0.0
h03,mac_2,judgment,0,0.0
h03,mac_2,judgment,1,1.0
h03,mac_2,judgment,2,0.0
h03,mac_2,judgment,3,0.0
h03,mac_2,reasoning,0,0.0
h03,mac_2,reasoning,1,0.0
h03,mac_2,reasoning,2,1.0
h03,mac_2,reasoning,3,0.0
h03,auth_2,judgment,0,0.0
h03,auth_2,judgment,1,0.0
h03,auth_2,judgment,2,1.0
h03,auth_2,judgment,3,0.0
h03,auth_2,reasoning,0,0.0
h03,auth_2,reasoning,1,1.0
h03,auth_2,reasoning,2,0.0
h03,auth_2,reasoning,3,0.0
h03,auth_2,reasoning,4,0.0
h03,scope_3,judgment,0,1.0
h03,scope_3,judgment,1,0.0
h03,scope_3,judgment,2,0.0
h03,scope_3,judgment,3,0.0
h03,scope_3,reasoning,0,0.0
h03,scope_3,reasoning,1,1.0
h03,scope_3,reasoning,2,0.0
h03,scope_3,reasoning,3,0.0
h03,domain_2,judgment,0,0.0
h03,domain_2,judgment,1,1.0
h03,domain_2,judgment,2,0.0
h03,domain_2,judgment,3,0.0
h03,domain_2,reasoning,0,1.0
h03,domain_2,reasoning,1,0.0
h03,domain_2,reasoning,2,0.0
h03,domain_2,reasoning,3,0.0
h04,domain_2,judgment,0,0.4016
h04,domain_2,judgment,1,0.1969
h04,domain_2,judgment,2,0.4016
h04,domain_2,judgment,3,0.0
h04,domain_2,reasoning,0,0.3333
h04,domain_2,reasoning,1,0.3374
h04,domain_2,reasoning,2,0.3293
h04,domain_2,reasoning,3,0.0
h04,scope_3,judgment,0,0.0
h04,scope_3,judgment,1,0.5
h04,scope_3,judgment,2,0.5
h04,scope_3,judgment,3,0.0
h04,scope_3,reasoning,0,0.0
h04,scope_3,reasoning,1,0.4904
h04,scope_3,reasoning,2,0.5096
h04,scope_3,reasoning,3,0.0
h04,auth_3,judgment,0,0.2865
h04,auth_3,judgment,1,0.2865
h04,auth_3,judgment,2,0.4269
h04,auth_3,judgment,3,0.0
h04,auth_3,reasoning,0,0.3333
h04,auth_3,reasoning,1,0.5238
h04,auth_3,reasoning,2,0.1429
h04,auth_3,reasoning,3,0.0
h04,mac_1,judgment,0,0.5
h04,mac_1,judgment,1,0.5
h04,mac_1,judgment,2,0.0
h04,mac_1,judgment,3,0.0
h04,mac_1,reasoning,0,0.5
h04,mac_1,reasoning,1,0.24
h04,mac_1,reasoning,2,0.26
h04,mac_1,reasoning,3,0.0
h04,auth_1,judgment,0,0.2767
h04,auth_1,judgment,1,0.1572
h04,auth_1,judgment,2,0.566
h04,auth_1,judgment,3,0.0
h04,auth_1,reasoning,0,0.2417
h04,auth_1,reasoning,1,0.2464
h04,auth_1,reasoning,2,0.4408
h04,auth_1,reasoning,3,0.0711
h04,auth_1,reasoning,4,0.0
h04,domain_1,judgment,0,0.0
h04,domain_1,judgment,1,0.4972
h04,domain_1,judgment,2,0.5028
h04,domain_1,judgment,3,0.0
h04,domain_1,reasoning,0,0.0
h04,domain_1,reasoning,1,0.4971
h04,domain_1,reasoning,2,0.5029
h04,domain_1,reasoning,3,0.0
h04,mac_3,judgment,0,0.0
h04,mac_3,judgment,1,0.5
h04,mac_3,judgment,2,0.5
h04,mac_3,judgment,3,0.0
h04,mac_3,reasoning,0,0.0863
h04,mac_3,reasoning,1,0.4061
h04,mac_3,reasoning,2,0.5076
h04,mac_3,reasoning,3,0.0
h04,scope_1,judgment,0,0.0
h04,scope_1,judgment,1,0.5
h04,scope_1,judgment,2,0.5
h04,scope_1,judgment,3,0.0
h04,scope_1,reasoning,0,0.0591
h04,scope_1,reasoning,1,0.2409
h04,scope_1,reasoning,2,0.2455
h04,scope_1,reasoning,3,0.4545
h04,scope_1,reasoning,4,0.0
h04,mac_2,judgment,0,0.2636
h04,mac_2,judgment,1,0.4636
h04,mac_2,judgment,2,0.2727
h04,mac_2,judgment,3,0.0
h04,mac_2,reasoning,0,0.3268
h04,mac_2,reasoning,1,0.3333
h04,mac_2,reasoning,2,0.3399
h04,mac_2,reasoning,3,0.0
h04,auth_2,judgment,0,0.0
h04,auth_2,judgment,1,0.3603
h04,auth_2,judgment,2,0.6397
h04,auth_2,judgment,3,0.0
h04,auth_2,reasoning,0,0.0
h04,auth_2,reasoning,1,0.48
h04,auth_2,reasoning,2,0.0
h04,auth_2,reasoning,3,0.52
h04,auth_2,reasoning,4,0.0
h04,domain_3,judgment,0,0.0643
h04,domain_3,judgment,1,0.4643
h04,domain_3,judgment,2,0.4714
h04,domain_3,judgment,3,0.0
h04,domain_3,reasoning,0,0.3294
h04,domain_3,reasoning,1,0.3353
h04,domain_3,reasoning,2,0.3353
h04,domain_3,reasoning,3,0.0
h04,scope_2,judgment,0,0.1043
h04,scope_2,judgment,1,0.4435
h04,scope_2,judgment,2,0.4522
h04,scope_2,judgment,3,0.0
h04,scope_2,reasoning,0,0.2987
h04,scope_2,reasoning,1,0.1623
h04,scope_2,reasoning,2,0.539
h04,scope_2,reasoning,3,0.0
h05,auth_3,judgment,0,0.3817
h05,auth_3,judgment,1,0.2366
h05,auth_3,judgment,2,0.3817
h05,auth_3,judgment,3,0.0
h05,auth_3,reasoning,0,0.3299
h05,auth_3,reasoning,1,0.3299
h05,auth_3,reasoning,2,0.3401
h05,auth_3,reasoning,3,0.0
h05,domain_1,judgment,0,0.0
h05,domain_1,judgment,1,0.4819
h05,domain_1,judgment,2,0.5181
h05,domain_1,judgment,3,0.0
h05,domain_1,reasoning,0,0.0603
h05,domain_1,reasoning,1,0.4372
h05,domain_1,reasoning,2,0.5025
h05,domain_1,reasoning,3,0.0
h05,mac_1,judgment,0,0.0625
h05,mac_1,judgment,1,0.4688
h05,mac_1,judgment,2,0.4688
h05,mac_1,judgment,3,0.0
h05,mac_1,reasoning,0,0.0
h05,mac_1,reasoning,1,0.0
h05,mac_1,reasoning,2,0.0
h05,mac_1,reasoning,3,1.0
h05,scope_3,judgment,0,0.0643
h05,scope_3,judgment,1,0.3509
h05,scope_3,judgment,2,0.5848
h05,scope_3,judgment,3,0.0
h05,scope_3,reasoning,0,0.0
h05,scope_3,reasoning,1,0.4737
h05,scope_3,reasoning,2,0.5263
h05,scope_3,reasoning,3,0.0
h05,auth_1,judgment,0,0.4226
h05,auth_1,judgment,1,0.0417
h05,auth_1,judgment,2,0.5357
h05,auth_1,judgment,3,0.0
h05,auth_1,reasoning,0,0.431
h05,auth_1,reasoning,1,0.0991
h05,auth_1,reasoning,2,0.431
h05,auth_1,reasoning,3,0.0388
h05,auth_1,reasoning,4,0.0
h05,domain_2,judgment,0,0.0
h05,domain_2,judgment,1,0.5
h05,domain_2,judgment,2,0.5
h05,domain_2,judgment,3,0.0
h05,domain_2,reasoning,0,0.0533
h05,domain_2,reasoning,1,0.6667
h05,domain_2,reasoning,2,0.28
h05,domain_2,reasoning,3,0.0
h05,scope_1,judgment,0,0.0
h05,scope_1,judgment,1,0.5
h05,scope_1,judgment,2,0.5
h05,scope_1,judgment,3,0.0
h05,scope_1,reasoning,0,0.0
h05,scope_1,reasoning,1,0.3805
h05,scope_1,reasoning,2,0.4878
h05,scope_1,reasoning,3,0.1317
h05,scope_1,reasoning,4,0.0
h05,mac_3,judgment,0,0.0
h05,mac_3,judgment,1,0.9346
h05,mac_3,judgment,2,0.0654
h05,mac_3,judgment,3,0.0
h05,mac_3,reasoning,0,0.0
h05,mac_3,reasoning,1,0.8396
h05,mac_3,reasoning,2,0.1604
h05,mac_3,reasoning,3,0.0
h05,scope_2,judgment,0,0.0885
h05,scope_2,judgment,1,0.885
h05,scope_2,judgment,2,0.0265
h05,scope_2,judgment,3,0.0
h05,scope_2,reasoning,0,0.262
h05,scope_2,reasoning,1,0.369
h05,scope_2,reasoning,2,0.369
h05,scope_2,reasoning,3,0.0
h05,mac_2,judgment,0,0.0244
h05,mac_2,judgment,1,0.4878
h05,mac_2,judgment,2,0.4878
h05,mac_2,judgment,3,0.0
h05,mac_2,reasoning,0,0.2806
h05,mac_2,reasoning,1,0.3597
h05,mac_2,reasoning,2,0.3597
h05,mac_2,reasoning,3,0.0
h05,auth_2,judgment,0,0.1442
h05,auth_2,judgment,1,0.375
h05,auth_2,judgment,2,0.4808
h05,auth_2,judgment,3,0.0
h05,auth_2,reasoning,0,0.0659
h05,auth_2,reasoning,1,0.3333
h05,auth_2,reasoning,2,0.3663
h05,auth_2,reasoning,3,0.2344
h05,auth_2,reasoning,4,0.0
h05,domain_3,judgment,0,0.0
h05,domain_3,judgment,1,0.5
h05,domain_3,judgment,2,0.5
h05,domain_3,judgment,3,0.0
h05,domain_3,reasoning,0,0.0
h05,domain_3,reasoning,1,0.4792
h05,domain_3,reasoning,2,0.5208
h05,domain_3,reasoning,3,0.0
h06,auth_2,judgment,0,0.9259
h06,auth_2,judgment,1,0.0
h06,auth_2,judgment,2,0.0741
h06,auth_2,judgment,3,0.0
h06,auth_2,reasoning,0,0.9091
h06,auth_2,reasoning,1,0.0909
h06,auth_2,reasoning,2,0.0
h06,auth_2,reasoning,3,0.0
h06,auth_2,reasoning,4,0.0
h06,scope_2,judgment,0,0.188
h06,scope_2,judgment,1,0.0602
h06,scope_2,judgment,2,0.7519
h06,scope_2,judgment,3,0.0
h06,scope_2,reasoning,0,0.1522
h06,scope_2,reasoning,1,0.1522
h06,scope_2,reasoning,2,0.6957
h06,scope_2,reasoning,3,0.0
h06,domain_3,judgment,0,0.1413
h06,domain_3,judgment,1,0.3152
h06,domain_3,judgment,2,0.5435
h06,domain_3,judgment,3,0.0
h06,domain_3,reasoning,0,0.1357
h06,domain_3,reasoning,1,0.15
h06,domain_3,reasoning,2,0.7143
h06,domain_3,reasoning,3,0.0
h06,mac_1,judgment,0,0.0
h06,mac_1,judgment,1,0.5
h06,mac_1,judgment,2,0.5
h06,mac_1,judgment,3,0.0
h06,mac_1,reasoning,0,0.0
h06,mac_1,reasoning,1,0.2897
h06,mac_1,reasoning,2,0.0
h06,mac_1,reasoning,3,0.7103
h06,auth_3,judgment,0,0.3717
h06,auth_3,judgment,1,0.2639
h06,auth_3,judgment,2,0.3643
h06,auth_3,judgment,3,0.0
h06,auth_3,reasoning,0,0.5988
h06,auth_3,reasoning,1,0.2754
h06,auth_3,reasoning,2,0.1257
h06,auth_3,reasoning,3,0.0
h06,domain_1,judgment,0,0.0099
h06,domain_1,judgment,1,0.495
h06,domain_1,judgment,2,0.495
h06,domain_1,judgment,3,0.0
h06,domain_1,reasoning,0,0.0868
h06,domain_1,reasoning,1,0.4566
h06,domain_1,reasoning,2,0.4566
h06,domain_1,reasoning,3,0.0
h06,scope_3,judgment,0,0.2253
h06,scope_3,judgment,1,0.2253
h06,scope_3,judgment,2,0.5495
h06,scope_3,judgment,3,0.0
h06,scope_3,reasoning,0,0.0541
h06,scope_3,reasoning,1,0.0
h06,scope_3,reasoning,2,0.9459
h06,scope_3,reasoning,3,0.0
h06,mac_2,judgment,0,0.0
h06,mac_2,judgment,1,0.3377
h06,mac_2,judgment,2,0.6623
h06,mac_2,judgment,3,0.0
h06,mac_2,reasoning,0,0.0643
h06,mac_2,reasoning,1,0.3509
h06,mac_2,reasoning,2,0.5848
h06,mac_2,reasoning,3,0.0
h06,domain_2,judgment,0,0.0
h06,domain_2,judgment,1,0.5
h06,domain_2,judgment,2,0.5
h06,domain_2,judgment,3,0.0
h06,domain_2,reasoning,0,0.1974
h06,domain_2,reasoning,1,0.3734
h06,domain_2,reasoning,2,0.4292
h06,domain_2,reasoning,3,0.0
h06,mac_3,judgment,0,0.1462
h06,mac_3,judgment,1,0.4462
h06,mac_3,judgment,2,0.4077
h06,mac_3,judgment,3,0.0
h06,mac_3,reasoning,0,0.0493
h06,mac_3,reasoning,1,0.4926
h06,mac_3,reasoning,2,0.4581
h06,mac_3,reasoning,3,0.0
h06,scope_1,judgment,0,0.0207
h06,scope_1,judgment,1,0.5181
h06,scope_1,judgment,2,0.4611
h06,scope_1,judgment,3,0.0
h06,scope_1,reasoning,0,0.061
h06,scope_1,reasoning,1,0.2744
h06,scope_1,reasoning,2,0.1707
h06,scope_1,reasoning,3,0.4939
h06,scope_1,reasoning,4,0.0
h06,auth_1,judgment,0,0.398
h06,auth_1,judgment,1,0.1429
h06,auth_1,judgment,2,0.4592
h06,auth_1,judgment,3,0.0
h06,auth_1,reasoning,0,0.5714
h06,auth_1,reasoning,1,0.0457
h06,auth_1,reasoning,2,0.3829
h06,auth_1,reasoning,3,0.0
h06,auth_1,reasoning,4,0.0
h07,scope_3,judgment,0,0.0
h07,scope_3,judgment,1,0.8125
h07,scope_3,judgment,2,0.1875
h07,scope_3,judgment,3,0.0
h07,scope_3,reasoning,0,0.0
h07,scope_3,reasoning,1,0.8444
h07,scope_3,reasoning,2,0.1556
h07,scope_3,reasoning,3,0.0
h07,mac_2,judgment,0,0.0
h07,mac_2,judgment,1,0.0
h07,mac_2,judgment,2,1.0
h07,mac_2,judgment,3,0.0
h07,mac_2,reasoning,0,0.0
h07,mac_2,reasoning,1,0.3115
h07,mac_2,reasoning,2,0.6885
h07,mac_2,reasoning,3,0.0
h07,auth_1,judgment,0,0.0
h07,auth_1,judgment,1,0.0
h07,auth_1,judgment,2,1.0
h07,auth_1,judgment,3,0.0
h07,auth_1,reasoning,0,0.4
h07,auth_1,reasoning,1,0.0
h07,auth_1,reasoning,2,0.6
h07,auth_1,reasoning,3,0.0
h07,auth_1,reasoning,4,0.0
h07,domain_1,judgment,0,0.0
h07,domain_1,judgment,1,0.5
h07,domain_1,judgment,2,0.5
h07,domain_1,judgment,3,0.0
h07,domain_1,reasoning,0,0.0
h07,domain_1,reasoning,1,0.5988
h07,domain_1,reasoning,2,0.4012
h07,domain_1,reasoning,3,0.0
h08,auth_2,judgment,0,0.2571
h08,auth_2,judgment,1,0.0
h08,auth_2,judgment,2,0.7429
h08,auth_2,judgment,3,0.0
h08,auth_2,reasoning,0,0.3797
h08,auth_2,reasoning,1,0.1765
h08,auth_2,reasoning,2,0.4439
h08,auth_2,reasoning,3,0.0
h08,auth_2,reasoning,4,0.0
h08,mac_1,judgment,0,0.6383
h08,mac_1,judgment,1,0.3617
h08,mac_1,judgment,2,0.0
h08,mac_1,judgment,3,0.0
h08,mac_1,reasoning,0,0.1307
h08,mac_1,reasoning,1,0.4314
h08,mac_1,reasoning,2,0.4379
h08,mac_1,reasoning,3,0.0
h08,scope_3,judgment,0,0.0
h08,scope_3,judgment,1,0.5137
h08,scope_3,judgment,2,0.4863
h08,scope_3,judgment,3,0.0
h08,scope_3,reasoning,0,0.0417
h08,scope_3,reasoning,1,0.1146
h08,scope_3,reasoning,2,0.8438
h08,scope_3,reasoning,3,0.0
h08,domain_3,judgment,0,0.0
h08,domain_3,judgment,1,0.5663
h08,domain_3,judgment,2,0.4337
h08,domain_3,judgment,3,0.0
h08,domain_3,reasoning,0,0.1441
h08,domain_3,reasoning,1,0.3964
h08,domain_3,reasoning,2,0.4595
h08,domain_3,reasoning,3,0.0
h08,domain_2,judgment,0,0.5085
h08,domain_2,judgment,1,0.1271
h08,domain_2,judgment,2,0.3644
h08,domain_2,judgment,3,0.0
h08,domain_2,reasoning,0,0.2687
h08,domain_2,reasoning,1,0.3234
h08,domain_2,reasoning,2,0.408
h08,domain_2,reasoning,3,0.0
h08,mac_3,judgment,0,0.5068
h08,mac_3,judgment,1,0.2027
h08,mac_3,judgment,2,0.2905
h08,mac_3,judgment,3,0.0
h08,mac_3,reasoning,0,0.2384
h08,mac_3,reasoning,1,0.298
h08,mac_3,reasoning,2,0.4636
h08,mac_3,reasoning,3,0.0
h08,auth_1,judgment,0,0.2642
h08,auth_1,judgment,1,0.2547
h08,auth_1,judgment,2,0.4811
h08,auth_1,judgment,3,0.0
h08,auth_1,reasoning,0,0.375
h08,auth_1,reasoning,1,0.2115
h08,auth_1,reasoning,2,0.1923
h08,auth_1,reasoning,3,0.2212
h08,auth_1,reasoning,4,0.0
h08,scope_2,judgment,0,0.3143
h08,scope_2,judgment,1,0.3143
h08,scope_2,judgment,2,0.3714
h08,scope_2,judgment,3,0.0
h08,scope_2,reasoning,0,0.2417
h08,scope_2,reasoning,1,0.3839
h08,scope_2,reasoning,2,0.3744
h08,scope_2,reasoning,3,0.0
h08,domain_1,judgment,0,0.2263
h08,domain_1,judgment,1,0.2628
h08,domain_1,judgment,2,0.5109
h08,domain_1,judgment,3,0.0
h08,domain_1,reasoning,0,0.2919
h08,domain_1,reasoning,1,0.2919
h08,domain_1,reasoning,2,0.4162
h08,domain_1,reasoning,3,0.0
h08,auth_3,judgment,0,0.3158
h08,auth_3,judgment,1,0.3349
h08,auth_3,judgment,2,0.3493
h08,auth_3,judgment,3,0.0
h08,auth_3,reasoning,0,0.3785
h08,auth_3,reasoning,1,0.3505
h08,auth_3,reasoning,2,0.271
h08,auth_3,reasoning,3,0.0
h08,scope_1,judgment,0,0.214
h08,scope_1,judgment,1,0.4558
h08,scope_1,judgment,2,0.3302
h08,scope_1,judgment,3,0.0
h08,scope_1,reasoning,0,0.1518
h08,scope_1,reasoning,1,0.2685
h08,scope_1,reasoning,2,0.3113
h08,scope_1,reasoning,3,0.2685
h08,scope_1,reasoning,4,0.0
h08,mac_2,judgment,0,0.2617
h08,mac_2,judgment,1,0.3645
h08,mac_2,judgment,2,0.3738
h08,mac_2,judgment,3,0.0
h08,mac_2,reasoning,0,0.2381
h08,mac_2,reasoning,1,0.3651
h08,mac_2,reasoning,2,0.3968
h08,mac_2,reasoning,3,0.0
h09,mac_1,judgment,0,0.7273
h09,mac_1,judgment,1,0.2727
h09,mac_1,judgment,2,0.0
h09,mac_1,judgment,3,0.0
h09,mac_1,reasoning,0,0.6986
h09,mac_1,reasoning,1,0.3014
h09,mac_1,reasoning,2,0.0
h09,mac_1,reasoning,3,0.0
h09,domain_3,judgment,0,0.1694
h09,domain_3,judgment,1,0.4113
h09,domain_3,judgment,2,0.4194
